taxiId,longitude,latitude
1,118.0,40.0
1,116.51135,39.93883
1,116.51135,39.93883
1,116.51627,39.91034
1,116.47186,39.91248
1,116.47217,39.92498
1,116.47179,39.90718
1,116.45617,39.90531
1,116.47191,39.90577
1,116.50661,39.9145
1,116.49625,39.9146
1,116.50962,39.91071
1,116.52231,39.91588
1,116.52231,39.91588
1,116.56444,39.91445
1,116.59512,39.90798
1,116.65522,39.8622
1,116.69164,39.85165
1,116.69167,39.85166
1,116.69168,39.85168
1,116.69168,39.85167
1,116.69167,39.85169
1,116.69167,39.85172
1,116.69167,39.85174
1,116.69167,39.85175
1,116.69167,39.85176
1,116.69172,39.85208
1,116.69172,39.85208
1,116.69172,39.85199
1,116.69171,39.85196
1,116.69171,39.85182
1,116.69171,39.85184
1,116.6917,39.85184
1,116.6917,39.85184
1,116.69168,39.85146
1,116.69172,39.85165
1,116.69176,39.85165
1,116.69168,39.85163
1,116.69166,39.85159
1,116.69164,39.85186
1,116.69167,39.85196
1,116.69167,39.85167
1,116.69176,39.85183
1,116.69173,39.85174
1,116.69172,39.85179
1,116.69171,39.85176
1,116.6917,39.85176
1,116.69164,39.85165
1,116.69155,39.85181
1,116.69158,39.8518
1,116.69156,39.85141
1,116.69161,39.85155
1,116.69156,39.85161
1,116.69156,39.85161
1,116.6916,39.85156
1,116.6918,39.85176
1,116.69179,39.85177
1,116.69176,39.85176
1,116.69177,39.85175
1,116.69157,39.85211
1,116.69162,39.85157
1,116.69162,39.85158
1,116.69161,39.8516
1,116.69138,39.85178
1,116.69156,39.85166
1,116.69129,39.85191
1,116.69172,39.85176
1,116.69165,39.85173
1,116.69169,39.85142
1,116.69164,39.85158
1,116.69162,39.85163
1,116.69161,39.85166
1,116.69184,39.85188
1,116.69165,39.85161
1,116.6917,39.85163
1,116.69171,39.85166
1,116.69169,39.85168
1,116.69169,39.85165
1,116.69169,39.85163
1,116.69169,39.85161
1,116.69172,39.85106
1,116.6917,39.85133
1,116.69171,39.85165
1,116.69165,39.85179
1,116.69167,39.85173
1,116.69156,39.8517
1,116.69157,39.85171
1,116.69285,39.85167
1,116.65945,39.88563
1,116.6174,39.9057
1,116.57833,39.91297
1,116.54256,39.91501
1,116.51629,39.90905
1,116.49705,39.90693
1,116.43653,39.90566
1,116.45075,39.87495
1,116.45551,39.88319
1,116.58425,39.91108
1,116.62556,39.90534
1,116.62556,39.90534
1,116.63713,39.90953
1,116.65749,39.88708
1,116.69302,39.8516
1,116.69149,39.85161
1,116.6915,39.85161
1,116.69152,39.85162
1,116.69154,39.85162
1,116.69155,39.85164
1,116.69155,39.85165
1,116.69155,39.85166
1,116.69156,39.85166
1,116.69156,39.85165
1,116.69151,39.85193
1,116.69159,39.85168
1,116.69159,39.85162
1,116.69159,39.85162
1,116.69161,39.85195
1,116.69164,39.8518
1,116.69159,39.8517
1,116.69162,39.85174
1,116.6916,39.85172
1,116.6916,39.85175
1,116.69161,39.85178
1,116.6916,39.85179
1,116.6916,39.85181
1,116.6916,39.85181
1,116.6916,39.85181
1,116.69163,39.85195
1,116.69159,39.85173
1,116.69159,39.85173
1,116.69158,39.85175
1,116.6916,39.85177
1,116.69161,39.85172
1,116.69163,39.85174
1,116.69164,39.85173
1,116.69167,39.8517
1,116.69174,39.85169
1,116.69162,39.85159
1,116.69162,39.8516
1,116.69162,39.85158
1,116.69162,39.85158
1,116.69162,39.85161
1,116.69159,39.85188
1,116.69162,39.85182
1,116.69162,39.85176
1,116.69169,39.8518
1,116.69169,39.85172
1,116.69163,39.85159
1,116.69163,39.85167
1,116.69164,39.85168
1,116.69164,39.85169
1,116.69164,39.85169
1,116.69163,39.85168
1,116.69163,39.85168
1,116.69162,39.85169
1,116.69162,39.85169
1,116.69161,39.85169
1,116.6916,39.85169
1,116.6916,39.8517
1,116.6916,39.8517
1,116.69161,39.85171
1,116.69159,39.85128
1,116.69171,39.85171
1,116.69166,39.85158
1,116.69164,39.8516
1,116.6916,39.85163
1,116.69156,39.85164
1,116.69155,39.85165
1,116.69149,39.85166
1,116.6915,39.85179
1,116.6913,39.85196
1,116.69141,39.85192
1,116.69158,39.85164
1,116.69158,39.85168
1,116.69158,39.85168
1,116.69139,39.8518
1,116.6916,39.85167
1,116.69162,39.85173
1,116.69161,39.85174
1,116.69162,39.85173
1,116.69152,39.85141
1,116.69165,39.85185
1,116.69161,39.85176
1,116.69163,39.85176
1,116.69162,39.85172
1,116.69163,39.8516
1,116.69163,39.85156
1,116.69163,39.85154
1,116.69163,39.85152
1,116.69159,39.85156
1,116.69162,39.85166
1,116.69163,39.85186
1,116.69162,39.85185
1,116.69162,39.85171
1,116.67003,39.87709
1,116.63086,39.9044
1,116.57792,39.9129
1,116.53787,39.915
1,116.50839,39.90916
1,116.5094,39.90679
1,116.47511,39.91397
1,116.47511,39.91397
1,116.51175,39.9155
1,116.51672,39.90887
1,116.69169,39.85151
1,116.69159,39.85204
1,116.69158,39.85187
1,116.69162,39.85178
1,116.69161,39.85176
1,116.6916,39.85179
1,116.69158,39.85178
1,116.69157,39.85179
1,116.69157,39.85181
1,116.69157,39.85182
1,116.69157,39.85182
1,116.69157,39.85182
1,116.69157,39.85182
